"~id","~labels","description_si","functions","description_en","name","qualities","function","symptoms","definition_en","severity","disease_id","definition_si","name_si","category","name_en","symptom_id","type","body_part","medicine_id","indication","treatment_id","virya","rasa","food_id","vipaka","dosha_effect","practice_id","beneficial_for","cause_en","cause_si","nidana_id","months","season_id","dosha_aggravation","age_range","group_name_si","age_id","group_name_en","characteristics","prakriti_id"
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:0","Dosha","වාත දෝෂය","['movement','circulation','breathing','elimination']","Air and space element","Vata","['dry','light','cold','rough','subtle','mobile']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:1","Dosha","පිත්ත දෝෂය","['digestion','metabolism','transformation','body temperature']","Fire and water element","Pitta","['hot','sharp','light','liquid','spreading','oily']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:2","Dosha","කප දෝෂය","['structure','lubrication','immunity','stability']","Water and earth element","Kapha","['heavy','slow','cool','oily','smooth','dense']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:3","Dhatu","රස ධාතුව",,"Plasma/lymph","Rasa",,"Nutrition and nourishment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:4","Dhatu","රක්ත ධාතුව",,"Blood","Rakta",,"Oxygenation and circulation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:5","Dhatu","මාංස ධාතුව",,"Muscle tissue","Mamsa",,"Body movement and protection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:6","Dhatu","මේද ධාතුව",,"Fat/adipose tissue","Meda",,"Lubrication and insulation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:7","Dhatu","අස්ථි ධාතුව",,"Bone tissue","Asthi",,"Structural support",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:8","Dhatu","මජ්ජා ධාතුව",,"Nervous tissue/bone marrow","Majja",,"Nervous system function",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:9","Dhatu","ශුක්‍ර ධාතුව",,"Reproductive tissue","Shukra",,"Reproduction and vitality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:10","Srotas","රසවහ ශ්‍රෝත",,"Plasma/lymphatic channels","Rasavaha",,"Transport of nutrients",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:11","Srotas","රක්තවහ ශ්‍රෝත",,"Circulatory channels","Raktavaha",,"Blood circulation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:12","Srotas","මාංසවහ ශ්‍රෝත",,"Muscle channels","Mamsavaha",,"Muscle nourishment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:13","Srotas","මේදවහ ශ්‍රෝත",,"Fat channels","Medovaha",,"Fat metabolism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:14","Srotas","අස්ථිවහ ශ්‍රෝත",,"Bone channels","Asthivaha",,"Bone nourishment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:15","Srotas","මජ්ජාවහ ශ්‍රෝත",,"Nervous channels","Majjavaha",,"Nervous system nourishment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:16","Srotas","මනෝවහ ශ්‍රෝත",,"Mental channels","Manovaha",,"Mental processes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:17","Srotas","අන්නවහ ශ්‍රෝත",,"Food channels","Annavaha",,"Food digestion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:18","Srotas","පුරීෂවහ ශ්‍රෝත",,"Excretory channels","Purishavaha",,"Waste elimination",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:19","Srotas","ස්වේදවහ ශ්‍රෝත",,"Sweat channels","Swedavaha",,"Sweat excretion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:20","Agni","මන්දාග්නි",,"Weak digestive fire","Mandagni",,,"['poor digestion','bloating','lethargy']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:21","Agni","තීක්ෂ්ණාග්නි",,"Sharp digestive fire","Tikshnagni",,,"['excessive hunger','acidity','burning sensation']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:22","Agni","සමාග්නි",,"Balanced digestive fire","Samagni",,,"['proper digestion','good appetite','regular elimination']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:23","Agni","විශමාග්නි",,"Irregular digestive fire","Vishamagni",,,"['irregular appetite','gas','bloating']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","Disease",,,,,,,,"In Ayurveda, acne vulgaris is described as Tarunya Pitika or Mukhadusika, referring to adolescent facial eruptions.","mild_to_moderate","D001","අයුර්වේදය අනුව තරුණ වියේදී මුහුණේ ඇතිවන පිටිකා තරුණ්‍ය පිටිකා හෝ මුඛදූෂිකා ලෙස හැඳින්වෙයි.","තරුණ්‍ය පිටිකා (මුඛදූෂිකා)","skin_disorders","Tarunya Pitika (Acne vulgaris)",,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:25","Disease",,,,,,,,"In Ayurveda, Vicharchika is classified as a type of Kshudra Kustha, characterized by itching, eruptions, discoloration, and excessive discharge.","moderate_to_severe","D002","ආයුර්වේදයට අනුව විචර්චිකා යනු, ක්ෂුද්‍ර කුෂ්ඨ (සුළු චර්ම රෝග) ගණයට අයත් රෝගී තත්ත්වයකි.","විචර්චිකා (ඇක්සීමා)","skin_disorders","Vicharchika (Eczema)",,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:26","Disease",,,,,,,,"Galaganda, according to Ayurveda, is a glandular swelling in the neck region.","moderate","D003","ගලගණ්ඩය යනු අයුර්වේදයට අනුව බෙල්ල ප්‍රදේශයේ ඇතිවන ග්‍රන්ථිමය වර්ධනයකි.","ගලගණ්ඩය","endocrine_disorders","Galaganda (Colloid Multinodular Goiter)",,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:27","Disease",,,,,,,,"Viral hepatitis is an inflammation of the liver primarily caused by viral infection.","moderate_to_severe","D004","වෛරස් හෙපටයිටිස් යනු වෛරස් ආසාදනයකින් හේතු වූ යකඩේ දියුණු වේදනාව සහ වේදනාකාරී තත්ත්වයකි.","වෛරස් හෙපටයිටිස්","liver_disorders","Viral Hepatitis",,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:28","Disease",,,,,,,,"Anidra, or insomnia, is a condition of inadequate quantity or quality of sleep.","mild_to_moderate","D005","අනිද්‍රාව යනු නිදා ගැනීමේ ප්‍රමාණය හෝ ගුණාත්මකභාවය අඩු වීමක් ඇති තත්ත්වයකි.","අනිද්‍රාව (නිදියන අසමත්භාවය)","sleep_disorders","Anidra (Insomnia)",,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:29","Disease",,,,,,,,"Grahani Roga is a gastrointestinal disorder due to impaired Agni (digestive fire).","moderate","D006","ග්‍රහණි රෝගය යනු, අග්නිය දුර්වල වීම නිසා හටගන්නා, ආහාර ජීර්ණ පද්ධතියේ රෝගී තත්ත්වයකි.","ග්‍රහණි රෝගය (බඩවැලේ උද්දීපක තත්ත්වය)","digestive_disorders","Grahani Roga (Irritable Bowel Syndrome)",,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:30","Disease",,,,,,,,"In Ayurveda, Charmakeela refers to nail-like hard growths on the skin, corresponding to warts caused by HPV.","mild","D007","චර්මකීල යනු, සම මතුපිට හටගන්නා ඇණයක් වැනි දැඩි වැඩීම් විශේෂයකි.","චර්මකීල (වට්ටු)","skin_disorders","Charmakeela (Warts)",,,,,,,,,,,,,,,,,,,,,,,,,
